carrier;train_number;OD_dep;OD_arr;train_dep_time;train_arr_time;OD_dep_time;OD_arr_time;OD_connecting_station;connection_traffic
TGV Regional;7591;PNO;STH;20:22;22:55;20:22;22:23;direct;32.79531189281753
TGV Regional;7591;PNO;QRV;20:22;22:55;20:22;21:11;direct;88.24756470726155
TGV Regional;7591;PNO;LLE;20:22;22:55;20:22;21:38;direct;204.1255265932251
TER;XDNQRV20;XDN;PNO;17:32;17:58;17:32;23:8;QRV;0.03614694459340818
TGV Regional;7346;XDN;PNO;20:55;23:8;17:32;23:8;QRV;0.03614694459340818
TGV Regional;7346;ADI;PNO;20:55;23:8;20:55;23:8;direct;3.299361786020322
TGV Regional;7346;XBH;PNO;20:55;23:8;21:41;23:8;direct;1.2488145098576968
TGV Regional;7346;QRV;PNO;20:55;23:8;22:23;23:8;direct;20.370821701806044
TGV Regional;7346;XLE;PNO;20:55;23:8;21:55;23:8;direct;1.7688158664460607
TGV Regional;7346;HZK;PNO;20:55;23:8;21:18;23:8;direct;0.5682162133813463
TGV Regional;7546;LLE;PNO;20:35;23:8;21:51;23:8;direct;49.22594067203779
TGV Regional;7546;AEB;PNO;20:35;23:8;20:35;23:8;direct;12.013650257510887
TGV Regional;7546;QRV;PNO;20:35;23:8;22:17;23:8;direct;31.044185984050884
TGV Regional;7546;STH;PNO;20:35;23:8;21:6;23:8;direct;3.5998040832893015
TER;XVSLLE22;XVS;PNO;19:50;20:20;19:50;23:8;LLE;1.2291659435768905
TGV Regional;7546;XVS;PNO;20:35;23:8;19:50;23:8;LLE;1.2291659435768905
TER;XDNQRV26;XDN;PNO;21:15;21:28;21:15;23:8;QRV;7.685047846296533
TGV Regional;7546;XDN;PNO;20:35;23:8;21:15;23:8;QRV;7.685047846296533
TGV Regional;7297;PNO;QRV;22:22;23:38;22:22;23:11;direct;126.22552855704132
TGV Regional;7297;PNO;LLE;22:22;23:38;22:22;23:38;direct;163.20949042973874
